gene	GM_rep1	GM_rep2	GM_rep3	GM_rep4	OM_rep1	OM_rep2	OM_rep3	OM_rep4
Srebf1	37.8007424557525	28.5864882441777	37.8007424557525	28.5864882441777	37.8162209113735	37.1309146338857	37.8162209113735	37.1309146338857
Srebf2	42.5258352627216	30.3190026832188	42.5258352627216	30.3190026832188	42.972978308379	44.6946194667143	42.972978308379	44.6946194667143
Tef	24.5704825962392	21.6564304880134	24.5704825962392	21.6564304880134	27.5027061173626	27.5043812102857	27.5027061173626	27.5043812102857
Atf1	39.6907795785402	32.0515171222598	39.6907795785402	32.0515171222598	39.5351400437087	42.6317908759429	39.5351400437087	42.6317908759429
Naif1	21.7354269120577	20.7901732684929	21.7354269120577	20.7901732684929	18.9081104556868	30.9424288615715	18.9081104556868	30.9424288615715
Sox2	13.2302598595134	15.5926299513696	13.2302598595134	15.5926299513696	12.0324339263461	12.3769715446286	12.0324339263461	12.3769715446286
Thap12	19.8453897892701	23.3889449270545	19.8453897892701	23.3889449270545	18.9081104556868	23.3787240287429	18.9081104556868	23.3787240287429
Hsf5	24.5704825962392	23.3889449270545	24.5704825962392	23.3889449270545	25.7837869850274	22.6911144984857	25.7837869850274	22.6911144984857
Zbtb22	66.151299297567	71.033092000684	66.151299297567	71.033092000684	72.1946035580767	89.3892389334286	72.1946035580767	89.3892389334286
Zfp354b	14.1752784209072	14.7263727318491	14.1752784209072	14.7263727318491	8.5945956616758	10.3141429538572	8.5945956616758	10.3141429538572
Cdc5l	11.3402227367258	14.7263727318491	11.3402227367258	14.7263727318491	10.313514794011	10.3141429538572	10.313514794011	10.3141429538572
Hsf2	19.8453897892701	22.5226877075339	19.8453897892701	22.5226877075339	18.9081104556868	20.6282859077143	18.9081104556868	20.6282859077143
Atf3	34.0206682101773	27.7202310246572	34.0206682101773	27.7202310246572	36.0973017790384	37.8185241641429	36.0973017790384	37.8185241641429
Hes2	29.2955754032082	25.1214593660955	29.2955754032082	25.1214593660955	27.5027061173626	25.4415526195143	27.5027061173626	25.4415526195143
Zfp57	50.0859837538721	46.7778898541089	50.0859837538721	46.7778898541089	55.0054122347251	56.3839814810858	55.0054122347251	56.3839814810858
Zzz3	17.9553526664825	18.1914016099313	17.9553526664825	18.1914016099313	17.1891913233516	15.8150191959143	17.1891913233516	15.8150191959143
Hoxa13	21.7354269120577	18.1914016099313	21.7354269120577	18.1914016099313	17.1891913233516	18.5654573169429	17.1891913233516	18.5654573169429
Hoxb13	22.6804454734515	18.1914016099313	22.6804454734515	18.1914016099313	17.1891913233516	18.5654573169429	17.1891913233516	18.5654573169429
Hoxc13	21.7354269120577	17.3251443904107	21.7354269120577	17.3251443904107	17.1891913233516	17.8778477866857	17.1891913233516	17.8778477866857
Hoxd13	19.8453897892701	17.3251443904107	19.8453897892701	17.3251443904107	17.1891913233516	17.8778477866857	17.1891913233516	17.8778477866857
Six1	22.6804454734515	17.3251443904107	22.6804454734515	17.3251443904107	13.7513530586813	17.1902382564286	13.7513530586813	17.1902382564286
Six2	19.8453897892701	17.3251443904107	19.8453897892701	17.3251443904107	12.0324339263461	15.8150191959143	12.0324339263461	15.8150191959143
Six4	19.8453897892701	17.3251443904107	19.8453897892701	17.3251443904107	12.0324339263461	15.8150191959143	12.0324339263461	15.8150191959143
Six6	21.7354269120577	17.3251443904107	21.7354269120577	17.3251443904107	13.7513530586813	15.8150191959143	13.7513530586813	15.8150191959143
Osr1	23.6254640348453	21.6564304880134	23.6254640348453	21.6564304880134	24.0648678526922	28.1919907405429	24.0648678526922	28.1919907405429
Rfx3	31.1856125259959	26.8539738051366	31.1856125259959	26.8539738051366	32.659463514368	35.0680860431143	32.659463514368	35.0680860431143
Tbx1	16.0653155436948	21.6564304880134	16.0653155436948	21.6564304880134	15.4702721910164	15.8150191959143	15.4702721910164	15.8150191959143
Tbx10	16.0653155436948	21.6564304880134	16.0653155436948	21.6564304880134	15.4702721910164	15.8150191959143	15.4702721910164	15.8150191959143
Vsx2	16.0653155436948	16.4588871708902	16.0653155436948	16.4588871708902	15.4702721910164	14.4398001354	15.4702721910164	14.4398001354
Cenpb	30.240593964602	26.8539738051366	30.240593964602	26.8539738051366	34.3783826467032	34.3804765128572	34.3783826467032	34.3804765128572
ENSMUSG00000097126	12.2852412981196	17.3251443904107	12.2852412981196	17.3251443904107	13.7513530586813	18.5654573169429	13.7513530586813	18.5654573169429
Jund	38.7457610171464	34.6502887808214	38.7457610171464	34.6502887808214	44.6918974407142	43.3194004062	44.6918974407142	43.3194004062
Mecp2	17.9553526664825	18.1914016099313	17.9553526664825	18.1914016099313	15.4702721910164	16.5026287261714	15.4702721910164	16.5026287261714
Pou3f3	16.0653155436948	22.5226877075339	16.0653155436948	22.5226877075339	13.7513530586813	13.7521906051429	13.7513530586813	13.7521906051429
Rhox8	12.2852412981196	17.3251443904107	12.2852412981196	17.3251443904107	13.7513530586813	18.5654573169429	13.7513530586813	18.5654573169429
Atoh7	16.0653155436948	20.7901732684929	16.0653155436948	20.7901732684929	17.1891913233516	13.0645810748857	17.1891913233516	13.0645810748857
Elk3	50.0859837538721	32.9177743417804	50.0859837538721	32.9177743417804	60.1621696317306	59.8220291323715	60.1621696317306	59.8220291323715
Erf	46.3059095082969	29.4527454636982	46.3059095082969	29.4527454636982	49.8486548377197	52.2583242995429	49.8486548377197	52.2583242995429
Ets1	47.2509280696907	28.5864882441777	47.2509280696907	28.5864882441777	53.28649310239	54.3211528903143	53.28649310239	54.3211528903143
Etv1	49.1409651924783	33.7840315613009	49.1409651924783	33.7840315613009	58.4432504993955	58.4468100718572	58.4432504993955	58.4468100718572
Etv3	48.1959466310845	30.3190026832188	48.1959466310845	30.3190026832188	56.7243313670603	53.6335433600572	56.7243313670603	53.6335433600572
Etv4	49.1409651924783	32.9177743417804	49.1409651924783	32.9177743417804	58.4432504993955	59.1344196021143	58.4432504993955	59.1344196021143
Etv5	49.1409651924783	32.0515171222598	49.1409651924783	32.0515171222598	58.4432504993955	58.4468100718572	58.4432504993955	58.4468100718572
Fli1	46.3059095082969	29.4527454636982	46.3059095082969	29.4527454636982	55.0054122347251	55.0087624205715	55.0054122347251	55.0087624205715
Gabpa	48.1959466310845	31.1852599027393	48.1959466310845	31.1852599027393	58.4432504993955	58.4468100718572	58.4432504993955	58.4468100718572
En2	15.120296982301	14.7263727318491	15.120296982301	14.7263727318491	18.9081104556868	16.5026287261714	18.9081104556868	16.5026287261714
Esx1	12.2852412981196	12.1276010732875	12.2852412981196	12.1276010732875	8.5945956616758	12.3769715446286	8.5945956616758	12.3769715446286
Lhx1	17.9553526664825	13.8601155123286	17.9553526664825	13.8601155123286	8.5945956616758	13.0645810748857	8.5945956616758	13.0645810748857
Lhx3	14.1752784209072	12.993858292808	14.1752784209072	12.993858292808	6.87567652934064	10.3141429538572	6.87567652934064	10.3141429538572
Lhx5	13.2302598595134	11.261343853767	13.2302598595134	11.261343853767	6.87567652934064	10.3141429538572	6.87567652934064	10.3141429538572
Otp	11.3402227367258	13.8601155123286	11.3402227367258	13.8601155123286	10.313514794011	11.6893620143714	10.313514794011	11.6893620143714
Dbx1	14.1752784209072	12.993858292808	14.1752784209072	12.993858292808	5.15675739700548	11.0017524841143	5.15675739700548	11.0017524841143
Evx1	16.0653155436948	17.3251443904107	16.0653155436948	17.3251443904107	12.0324339263461	9.62653342360001	12.0324339263461	9.62653342360001
Gsx2	10.395204175332	12.1276010732875	10.395204175332	12.1276010732875	10.313514794011	9.62653342360001	10.313514794011	9.62653342360001
