gene	AtoB_rep1	AtoB_rep2	AtoB_rep3	AtoB_rep4	BtoA_rep1	BtoA_rep2	BtoA_rep3	BtoA_rep4
Arnt	56.5539839700903	76.2127626984402	54.0612083736927	83.4534093692132	62.8822437361814	78.8715569006779	62.1294329064938	85.2267586967568
Atf6	64.6331245372461	66.4418956858196	59.9587947417319	63.3094829697479	74.4106550878147	89.9944687712864	72.1503091817347	95.2534361904929
Atf6b	62.6133393954571	65.4648089845576	57.9929326190522	61.3910137888465	68.1224307141966	77.860383094259	66.1377834165901	80.2134199498887
E2f8	54.5341988283014	58.6252020757232	54.0612083736927	56.5948408365928	62.8822437361814	69.7709926429074	65.135695789066	69.184074706779
Hes1	83.821083384241	95.7544967236813	80.6003470298691	91.127286092819	68.1224307141966	74.8268616750021	67.1398710441142	73.1947457042735
Hes7	83.821083384241	92.8232366198951	80.6003470298691	89.2088169119175	68.1224307141966	74.8268616750021	68.1419586716383	73.1947457042735
Mnt	39.3858102648843	42.0147281542683	39.3172424535947	47.0024949320856	49.2577575933421	50.5586903209474	47.0981184936324	50.1333874686805
Tcfl5	80.7914056715576	98.6857568274674	74.7027606618299	89.2088169119175	67.0743933185935	79.8827307070969	66.1377834165901	83.2214231980096
Zfp454	80.7914056715576	75.2356759971781	71.7539674778103	69.0648905124523	69.1704681097996	66.7374712236506	65.135695789066	66.1760714586582
Zfp692	70.6924799626129	77.1898493997022	67.8222432324509	73.8610634647059	73.3626176922117	75.8380354814211	70.1461339266865	76.2027489523943
Bhlhe41	99.9793645185525	132.883791371639	90.4296576432678	134.292842663102	70.2185055054026	95.0503378033811	69.1440462991624	106.282781433603
Max	43.4253805484622	46.9001616605786	41.2831045762744	54.6763716556914	58.6900941537693	62.6927759979748	57.1189947688733	62.1654004611638
Mlxip	62.6133393954571	71.3273291921299	58.9758636803921	78.6572364169595	52.4018697801512	55.6145593530421	52.1085566312528	56.1493939649221
Mycn	43.4253805484622	43.9689015567924	40.3001735149346	47.9617295225363	56.5940193625633	59.6592545787179	55.1148195138251	58.1547294636693
Zfp213	73.7221576752963	78.1669361009643	69.7881053551306	71.9425942838045	64.9783185273875	66.7374712236506	61.1273452789697	65.1734037092846
Zfp661	65.6430171081405	65.4648089845576	65.8563811097711	63.3094829697479	70.2185055054026	68.7598188364885	68.1419586716383	67.1787392080318
Atf4	70.6924799626129	79.1440228022263	76.6686227845097	77.6980018265088	51.3538323845482	53.5922117402042	53.1106442587769	55.1467262155485
Ddit3	56.5539839700903	57.6481153744612	57.9929326190522	58.5133100174943	50.3057949889452	51.5698641273663	52.1085566312528	51.1360552180541
Ikzf1	46.4550582611456	46.9001616605786	47.1806909443136	45.0840257511841	51.3538323845482	51.5698641273663	51.1064690037287	52.1387229674277
Ikzf2	46.4550582611456	46.9001616605786	47.1806909443136	45.0840257511841	51.3538323845482	51.5698641273663	51.1064690037287	52.1387229674277
Ptf1a	49.484735973829	49.8314217643647	47.1806909443136	48.920964112987	53.4499071757542	52.5810379337853	52.1085566312528	52.1387229674277
Zfp14	54.5341988283014	52.7626818681509	50.1294841283332	50.8394332938885	53.4499071757542	54.6033855466232	53.1106442587769	53.1413907168013
Zfp174	70.6924799626129	80.1211095034884	63.8905189870914	82.4941747787625	72.3145802966087	82.9162521263537	71.1482215542106	88.2347619448776
