ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	BgRatio_num	GeneRatio_num
GO:0007059	chromosome segregation	70/452	416/28891	6.15568050420384e-51	2.29052871561425e-47	1.84540821852342e-47	Top2a/Ube2c/Birc5/Ncaph/Racgap1/Tpx2/Tacc3/Ccnb2/Incenp/Kat2b/Aurkb/Nusap1/Kifc1/Knstrn/Cdca8/Cdc20/Tex14/Fbxo5/Prc1/Kif22/Bcl7a/Kif2c/Cdca5/Fam83d/Bub1b/Aurka/Kif4/Mki67/Bub1/Kif11/Ect2/Plk1/Ccnb1/Mybl2/Kif14/Spc25/Nuf2/Smc2/Cdc6/Oip5/Cdk1/Ncapg2/Brca1/Nek2/Dlgap5/Cenpm/Kif18b/Spag5/Cenpn/Chtf18/Ncapd2/Sgo2a/Aspm/Kntc1/Fancd2/Cenpi/Ttk/Cenpf/Haspin/Kif23/Sgo1/Brip1/Stil/Esco2/Nsl1/Ska1/Rmi2/Rgs14/Cenph/Mnd1	70	0.168269230769231	416	70
GO:0098813	nuclear chromosome segregation	57/452	312/28891	1.52981037885255e-43	2.84621220985517e-40	2.29310524156424e-40	Top2a/Ube2c/Birc5/Ncaph/Racgap1/Tpx2/Tacc3/Ccnb2/Incenp/Kat2b/Aurkb/Nusap1/Kifc1/Knstrn/Cdca8/Cdc20/Tex14/Fbxo5/Prc1/Kif22/Bcl7a/Kif2c/Cdca5/Fam83d/Bub1b/Aurka/Kif4/Bub1/Kif11/Ect2/Plk1/Ccnb1/Mybl2/Kif14/Spc25/Nuf2/Smc2/Cdc6/Cdk1/Ncapg2/Nek2/Kif18b/Spag5/Ncapd2/Aspm/Kntc1/Fancd2/Cenpi/Ttk/Cenpf/Haspin/Kif23/Sgo1/Brip1/Nsl1/Rmi2/Mnd1	57	0.182692307692308	312	57
GO:0000280	nuclear division	65/452	450/28891	5.72074650748753e-43	7.09563258478703e-40	5.71673194853491e-40	Igf2/Top2a/Ube2c/Birc5/Ncaph/Racgap1/Tpx2/Ccnb2/Incenp/Kat2b/Aurkb/Nusap1/Kifc1/Knstrn/Cdca8/Cdc20/Tex14/Fbxo5/Prc1/Kif22/Kif2c/Cdca5/Bub1b/Aurka/Mki67/Fignl1/Fgfr3/Bub1/Kif11/Rad51/Rad51ap1/Plk1/Cks2/Ccnb1/Mybl2/Kif14/Spc25/Nuf2/Smc2/Cdk1/Ncapg2/Nek2/Kif18b/Spag5/Chtf18/Rad54l/Ncapd2/Sgo2a/Aspm/Kntc1/Fancd2/Cenpi/Ttk/Haspin/Fanca/Kif23/Sgo1/Brip1/Nsl1/Rad54b/Wnt4/Mastl/Pdgfb/Ankle1/Mnd1	65	0.144444444444444	450	65
GO:0000819	sister chromatid segregation	46/452	218/28891	3.12273206248315e-38	2.90492150112495e-35	2.34040550367158e-35	Top2a/Ube2c/Birc5/Ncaph/Racgap1/Tpx2/Tacc3/Incenp/Kat2b/Aurkb/Nusap1/Kifc1/Knstrn/Cdca8/Cdc20/Tex14/Fbxo5/Prc1/Kif22/Bcl7a/Kif2c/Cdca5/Bub1b/Bub1/Kif11/Plk1/Ccnb1/Mybl2/Kif14/Spc25/Nuf2/Smc2/Cdc6/Cdk1/Ncapg2/Nek2/Kif18b/Spag5/Ncapd2/Kntc1/Cenpi/Ttk/Haspin/Kif23/Nsl1/Rmi2	46	0.211009174311927	218	46
GO:0000070	mitotic sister chromatid segregation	41/452	177/28891	6.26961915714013e-36	4.66585057674369e-33	3.75913165463897e-33	Ube2c/Birc5/Ncaph/Racgap1/Tpx2/Incenp/Kat2b/Aurkb/Nusap1/Kifc1/Knstrn/Cdca8/Cdc20/Tex14/Fbxo5/Prc1/Kif22/Kif2c/Cdca5/Bub1b/Bub1/Kif11/Plk1/Ccnb1/Mybl2/Kif14/Spc25/Nuf2/Smc2/Cdk1/Ncapg2/Nek2/Kif18b/Spag5/Ncapd2/Kntc1/Cenpi/Ttk/Haspin/Kif23/Nsl1	41	0.231638418079096	177	41
GO:0140014	mitotic nuclear division	46/452	267/28891	4.81452277037479e-34	2.9858065380941e-31	2.40557207895218e-31	Igf2/Ube2c/Birc5/Ncaph/Racgap1/Tpx2/Incenp/Kat2b/Aurkb/Nusap1/Kifc1/Knstrn/Cdca8/Cdc20/Tex14/Fbxo5/Prc1/Kif22/Kif2c/Cdca5/Bub1b/Aurka/Mki67/Fgfr3/Bub1/Kif11/Plk1/Ccnb1/Mybl2/Kif14/Spc25/Nuf2/Smc2/Cdk1/Ncapg2/Nek2/Kif18b/Spag5/Ncapd2/Kntc1/Cenpi/Ttk/Haspin/Kif23/Nsl1/Pdgfb	46	0.172284644194757	267	46
GO:0051983	regulation of chromosome segregation	30/452	132/28891	2.63345134845528e-26	1.39986749537173e-23	1.12782999103769e-23	Ube2c/Birc5/Ncaph/Tacc3/Incenp/Kat2b/Aurkb/Cdca8/Cdc20/Tex14/Fbxo5/Bcl7a/Kif2c/Bub1b/Mki67/Bub1/Plk1/Ccnb1/Spc25/Nuf2/Smc2/Cdc6/Cdk1/Ncapg2/Chtf18/Ncapd2/Kntc1/Ttk/Haspin/Rmi2	30	0.227272727272727	132	30
GO:1903046	meiotic cell cycle process	36/452	239/28891	9.60635139963752e-25	4.4681541947564e-22	3.59985378765364e-22	Top2a/Mcm6/Birc5/Ncaph/Ccnb2/Mcm5/Incenp/Cdc20/Tex14/Fbxo5/Aurka/Fignl1/Rad51/Mcm3/Rad51ap1/Plk1/Cks2/Nuf2/Smc2/Pkmyt1/Chtf18/Rad54l/Ncapd2/Sgo2a/Aspm/Fancd2/Ttk/Haspin/Fanca/Sgo1/Brip1/Rad54b/Wnt4/Mastl/Ankle1/Mnd1	36	0.150627615062762	239	36
GO:0090068	positive regulation of cell cycle process	38/452	276/28891	1.31369283602783e-24	5.43139004762173e-22	4.37590315439446e-22	Igf2/Ube2c/Birc5/Ncaph/Racgap1/Incenp/Kat2b/Aurkb/Nusap1/Plcg2/Cdca8/Cdc20/Fbxo5/Rrm2/Lmnb1/Cdca5/Fam83d/Fen1/Aurka/Bub1/Ect2/Rad51ap1/Ccnb1/Kif14/E2f8/Smc2/Cdc6/Cdk1/Ncapg2/Spag5/Ncapd2/Sgo2a/Kif23/Stil/Wnt4/Gli1/E2f7/Pdgfb	38	0.13768115942029	276	38
GO:0010948	negative regulation of cell cycle process	39/452	314/28891	1.49828439157071e-23	5.57511622103463e-21	4.49169889178252e-21	Birc5/Incenp/Kat2b/Aurkb/E2f1/Kifc1/Cdca8/Ccnf/Cdc20/Tex14/Fbxo5/Bub1b/Aurka/Fgfr3/Bub1/Rad51/Plk1/Ccnb1/E2f8/Spc25/Nuf2/Cdkn2d/Cdc6/Cdk1/Pkmyt1/Ticrr/Brca1/Nek2/Chtf18/Kntc1/Fancd2/Ttk/Haspin/Mrnip/Stil/Clspn/Bard1/E2f7/Mdm1	39	0.124203821656051	314	39
